151.8564	147.13027	268.78812
161.31984	156.57134	269.62277
170.82809	166.05707	270.45317
180.38147	175.58777	271.27936
189.98029	185.16375	272.10135
199.62489	194.78534	272.91919
209.31558	204.45285	273.73291
219.05271	214.16664	274.54253
228.8366	223.92702	275.34809
238.66759	233.73433	276.14962
248.54603	243.58893	276.94715
258.47226	253.49112	277.74071
268.44663	263.4413	278.53033
278.46948	273.43977	279.31603
288.54117	283.48691	280.09786
298.66207	293.58307	280.87582
308.83252	303.7286	281.64996
319.0529	313.92388	282.42031
329.32358	324.16928	283.18688
339.64492	334.46514	283.94971
350.01731	344.81187	284.70883
360.44112	355.20982	285.46426
370.91673	365.65939	286.21603
381.44453	376.16095	286.96416
392.02492	386.7149	287.70868
402.65829	397.32163	288.44962
413.34504	407.98154	289.18701
424.08556	418.69502	289.92086
434.88028	429.46248	290.65121
445.72959	440.28435	291.37808
456.63392	451.16100	292.10149
467.59368	462.0929	292.82148
478.6093	473.08042	293.53805
489.6812	484.12402	294.25124
500.79556	495.23838	294.96108
