2380.67	669.065
2370.55	668.539
2298.22	664.274
2286.55	663.283
2192.87	642.666
2130.97	618.813
2111.87	610.273
2045.03	574.895
1977.51	525.78
1915.96	468.432
1913.82	466.122
1870.68	417.146
1846.94	385.142
1805.61	313.556
1776.74	244.686
1761.27	192.176
1759.11	184.565
1745.09	121.981
1742.61	105.211
1736.36	44.554
1735.27	29.4811
1736.82	-49.8897
1742.72	-110.804
1759.51	-181.153
1773.44	-225.169
1783.12	-253.195
1810.98	-312.534
1847.61	-374.83
1885.46	-425.186
1914.55	-459.929
1968.15	-508.339
2026.34	-553.759
2115.58	-602.237
2179.56	-627.831
2213.43	-638.611
2285.73	-654.033
2361.24	-661.584
2455.58	-657.144
2532.69	-645.65
2552.95	-640.82
2625.88	-618.4
2696.46	-585.28
2763.3	-544.741
2789.12	-526.211
2828.85	-496.415
2869.24	-456.742
2886.16	-439.751
2928.94	-388.818
2964.14	-334.066
2996.12	-278.594
3020.72	-220.255
3035.2	-174.611
3040.53	-155.128
3051.32	-105.913
3058.67	-46.2582
3059.56	20.2274
3059.54	33.4606
3058.27	46.704
3051.02	112.649
3038.85	169.092
3022.32	220.886
3016.53	235.976
2985.11	303.533
2983.46	307.024
2945.26	372.868
2891.67	438.992
2827.43	502.998
2783.04	537.536
2726.24	575.283
2698.98	589.618
2650.01	614.421
2610.97	629.559
2574.87	640.289
2531	652.978
2457.06	666.244
2380.67	669.065
