          250  ! number of los
mkIIlbsrp 
      3.0000      0.3000      0.0000 ! origin for (p,ksi,zeta)
! los  cam             Rdet(m)     Zdet(m)  fidet(deg)      Rst(m)      Zst(m)   fist(deg)     Rend(m)     Zend(m)  fiend(deg)        p(m)    ksi(deg)   zeta(deg)  etendue(srm2) type 
  167 VV               2.8977     -1.6823      0.0000      2.8977     -1.6823      0.0000      2.8812     -1.6195      0.0000      0.6008    104.6628      0.0000    0.00000       0
  168 VV               2.8812     -1.6195      0.0000      2.8812     -1.6195      0.0000      2.8839     -1.5817      0.0000     -0.0179     85.9252      0.0000    0.00000       0
  169 VV               2.8839     -1.5817      0.0000      2.8839     -1.5817      0.0000      2.9005     -1.5104      0.0000     -0.3120     76.9455      0.0000    0.00000       0
  170 VV               2.9005     -1.5104      0.0000      2.9005     -1.5104      0.0000      2.8905     -1.4984      0.0000      1.2329    129.6927      0.0000    0.00000       0
  171 VV               2.8905     -1.4984      0.0000      2.8905     -1.4984      0.0000      2.8859     -1.4757      0.0000      0.4635    101.4217      0.0000    0.00000       0
  172 VV               2.8859     -1.4757      0.0000      2.8859     -1.4757      0.0000      2.8875     -1.4230      0.0000      0.0595     88.2396      0.0000    0.00000       0
  173 VV               2.8875     -1.4230      0.0000      2.8875     -1.4230      0.0000      2.9066     -1.3834      0.0000     -0.6451     64.3257      0.0000    0.00000       0
  174 VV               2.9066     -1.3834      0.0000      2.9066     -1.3834      0.0000      2.9635     -1.3348      0.0000     -1.2197     40.4825      0.0000    0.00000       0
  175 VV               2.9635     -1.3348      0.0000      2.9635     -1.3348      0.0000      3.0110     -1.3348      0.0000      1.6348      0.0000      0.0000    0.00000       0
  176 VV               3.0110     -1.3348      0.0000      3.0110     -1.3348      0.0000      3.0601     -1.2978      0.0000     -1.3117     37.0301      0.0000    0.00000       0
  177 VV               3.0601     -1.2978      0.0000      3.0601     -1.2978      0.0000      3.1940     -1.2140      0.0000     -1.3868     32.0012      0.0000    0.00000       0
  178 VV               3.1940     -1.2140      0.0000      3.1940     -1.2140      0.0000      3.3094     -1.0796      0.0000     -1.1329     49.3833      0.0000    0.00000       0
  179 VV               3.3094     -1.0796      0.0000      3.3094     -1.0796      0.0000      3.3591     -1.0312      0.0000     -1.2044     44.2230      0.0000    0.00000       0
  180 VV               3.3591     -1.0312      0.0000      3.3591     -1.0312      0.0000      3.4073     -0.9782      0.0000     -1.1614     47.7091      0.0000    0.00000       0
  181 VV               3.4073     -0.9782      0.0000      3.4073     -0.9782      0.0000      3.4795     -0.8909      0.0000     -1.1286     50.3998      0.0000    0.00000       0
  182 VV               3.4795     -0.8909      0.0000      3.4795     -0.8909      0.0000      3.5304     -0.8227      0.0000     -1.0967     53.2566      0.0000    0.00000       0
  183 VV               3.5304     -0.8227      0.0000      3.5304     -0.8227      0.0000      3.5782     -0.7527      0.0000     -1.0709     55.6964      0.0000    0.00000       0
  184 VV               3.5782     -0.7527      0.0000      3.5782     -0.7527      0.0000      3.6271     -0.6740      0.0000     -1.0466     58.1494      0.0000    0.00000       0
  185 VV               3.6271     -0.6740      0.0000      3.6271     -0.6740      0.0000      3.6405     -0.6502      0.0000     -1.0260     60.4345      0.0000    0.00000       0
  186 VV               3.6405     -0.6502      0.0000      3.6405     -0.6502      0.0000      3.6800     -0.5754      0.0000     -1.0098     62.1935      0.0000    0.00000       0
  187 VV               3.6800     -0.5754      0.0000      3.6800     -0.5754      0.0000      3.7165     -0.4985      0.0000     -0.9894     64.6394      0.0000    0.00000       0
  188 VV               3.7165     -0.4985      0.0000      3.7165     -0.4985      0.0000      3.7494     -0.4205      0.0000     -0.9709     67.0823      0.0000    0.00000       0
  189 VV               3.7494     -0.4205      0.0000      3.7494     -0.4205      0.0000      3.7792     -0.3408      0.0000     -0.9542     69.5165      0.0000    0.00000       0
  190 VV               3.7792     -0.3408      0.0000      3.7792     -0.3408      0.0000      3.8054     -0.2603      0.0000     -0.9394     71.9590      0.0000    0.00000       0
  191 VV               3.8054     -0.2603      0.0000      3.8054     -0.2603      0.0000      3.8283     -0.1784      0.0000     -0.9265     74.3959      0.0000    0.00000       0
  192 VV               3.8283     -0.1784      0.0000      3.8283     -0.1784      0.0000      3.8476     -0.0959      0.0000     -0.9155     76.8339      0.0000    0.00000       0
  193 VV               3.8476     -0.0959      0.0000      3.8476     -0.0959      0.0000      3.8634     -0.0123      0.0000     -0.9065     79.2790      0.0000    0.00000       0
  194 VV               3.8634     -0.0123      0.0000      3.8634     -0.0123      0.0000      3.8756      0.0714      0.0000     -0.8994     81.7119      0.0000    0.00000       0
  195 VV               3.8756      0.0714      0.0000      3.8756      0.0714      0.0000      3.8843      0.1561      0.0000     -0.8943     84.1594      0.0000    0.00000       0
  196 VV               3.8843      0.1561      0.0000      3.8843      0.1561      0.0000      3.8893      0.2406      0.0000     -0.8913     86.5930      0.0000    0.00000       0
  197 VV               3.8893      0.2406      0.0000      3.8893      0.2406      0.0000      3.8908      0.3257      0.0000     -0.8902     89.0305      0.0000    0.00000       0
  198 VV               3.8908      0.3257      0.0000      3.8908      0.3257      0.0000      3.8886      0.4103      0.0000     -0.8911     91.4761      0.0000    0.00000       0
  199 VV               3.8886      0.4103      0.0000      3.8886      0.4103      0.0000      3.8828      0.4951      0.0000     -0.8940     93.9148      0.0000    0.00000       0
  200 VV               3.8828      0.4951      0.0000      3.8828      0.4951      0.0000      3.8734      0.5793      0.0000     -0.8989     96.3492      0.0000    0.00000       0
  201 VV               3.8734      0.5793      0.0000      3.8734      0.5793      0.0000      3.8604      0.6634      0.0000     -0.9058     98.7938      0.0000    0.00000       0
  202 VV               3.8604      0.6634      0.0000      3.8604      0.6634      0.0000      3.8439      0.7464      0.0000     -0.9147    101.2289      0.0000    0.00000       0
  203 VV               3.8439      0.7464      0.0000      3.8439      0.7464      0.0000      3.8238      0.8291      0.0000     -0.9255    103.6688      0.0000    0.00000       0
  204 VV               3.8238      0.8291      0.0000      3.8238      0.8291      0.0000      3.8003      0.9104      0.0000     -0.9383    106.1118      0.0000    0.00000       0
  205 VV               3.8003      0.9104      0.0000      3.8003      0.9104      0.0000      3.7732      0.9911      0.0000     -0.9529    108.5478      0.0000    0.00000       0
  206 VV               3.7732      0.9911      0.0000      3.7732      0.9911      0.0000      3.7429      1.0701      0.0000     -0.9695    110.9942      0.0000    0.00000       0
  207 VV               3.7429      1.0701      0.0000      3.7429      1.0701      0.0000      3.7091      1.1482      0.0000     -0.9879    113.4293      0.0000    0.00000       0
  208 VV               3.7091      1.1482      0.0000      3.7091      1.1482      0.0000      3.6722      1.2243      0.0000     -1.0081    115.8688      0.0000    0.00000       0
  209 VV               3.6722      1.2243      0.0000      3.6722      1.2243      0.0000      3.6409      1.2832      0.0000     -1.0271    117.9581      0.0000    0.00000       0
  210 VV               3.6409      1.2832      0.0000      3.6409      1.2832      0.0000      3.6404      1.4245      0.0000     -0.6445     90.2067      0.0000    0.00000       0
  211 VV               3.6404      1.4245      0.0000      3.6404      1.4245      0.0000      3.5620      1.4951      0.0000     -1.2642    137.9970      0.0000    0.00000       0
  212 VV               3.5620      1.4951      0.0000      3.5620      1.4951      0.0000      3.4771      1.5715      0.0000     -1.2642    137.9979      0.0000    0.00000       0
  213 VV               3.4771      1.5715      0.0000      3.4771      1.5715      0.0000      3.3978      1.6430      0.0000     -1.2642    137.9992      0.0000    0.00000       0
  214 VV               3.3978      1.6430      0.0000      3.3978      1.6430      0.0000      3.3001      1.7113      0.0000     -1.3284    145.0178      0.0000    0.00000       0
  215 VV               3.3001      1.7113      0.0000      3.3001      1.7113      0.0000      3.1494      1.8163      0.0000     -1.3296    145.1429      0.0000    0.00000       0
  216 VV               3.1494      1.8163      0.0000      3.1494      1.8163      0.0000      2.9753      1.9414      0.0000     -1.3184    144.2921      0.0000    0.00000       0
  217 VV               2.9753      1.9414      0.0000      2.9753      1.9414      0.0000      2.8835      1.9765      0.0000     -1.5248    159.1149      0.0000    0.00000       0
  218 VV               2.8835      1.9765      0.0000      2.8835      1.9765      0.0000      2.7847      2.0047      0.0000     -1.5799    164.0531      0.0000    0.00000       0
  219 VV               2.7847      2.0047      0.0000      2.7847      2.0047      0.0000      2.6778      2.0183      0.0000     -1.6638    172.7325      0.0000    0.00000       0
  220 VV               2.6778      2.0183      0.0000      2.6778      2.0183      0.0000      2.5751      2.0157      0.0000     -1.7260    181.4668      0.0000    0.00000       0
  221 VV               2.5751      2.0157      0.0000      2.5751      2.0157      0.0000      2.4788      1.9991      0.0000     -1.7629    189.7794      0.0000    0.00000       0
  222 VV               2.4788      1.9991      0.0000      2.4788      1.9991      0.0000      2.3811      1.9672      0.0000     -1.7770    198.0804      0.0000    0.00000       0
  223 VV               2.3811      1.9672      0.0000      2.3811      1.9672      0.0000      2.2434      1.8938      0.0000     -1.7624    208.0569      0.0000    0.00000       0
  224 VV               2.2434      1.8938      0.0000      2.2434      1.8938      0.0000      2.2060      1.8715      0.0000     -1.7563    210.8464      0.0000    0.00000       0
  225 VV               2.2060      1.8715      0.0000      2.2060      1.8715      0.0000      2.1781      1.8392      0.0000     -1.6274    229.2441      0.0000    0.00000       0
  226 VV               2.1781      1.8392      0.0000      2.1781      1.8392      0.0000      2.1192      1.7231      0.0000     -1.4298    243.0689      0.0000    0.00000       0
  227 VV               2.1192      1.7231      0.0000      2.1192      1.7231      0.0000      2.0584      1.6028      0.0000     -1.4279    243.1953      0.0000    0.00000       0
  228 VV               2.0584      1.6028      0.0000      2.0584      1.6028      0.0000      1.9974      1.4440      0.0000     -1.3460    248.9934      0.0000    0.00000       0
  229 VV               1.9974      1.4440      0.0000      1.9974      1.4440      0.0000      1.9382      1.2894      0.0000     -1.3453    249.0564      0.0000    0.00000       0
  230 VV               1.9382      1.2894      0.0000      1.9382      1.2894      0.0000      1.9160      1.2316      0.0000     -1.3461    248.9685      0.0000    0.00000       0
  231 VV               1.9160      1.2316      0.0000      1.9160      1.2316      0.0000      1.9041      1.1713      0.0000     -1.2445    258.7796      0.0000    0.00000       0
  232 VV               1.9041      1.1713      0.0000      1.9041      1.1713      0.0000      1.8861      1.0729      0.0000     -1.2348    259.6383      0.0000    0.00000       0
  233 VV               1.8861      1.0729      0.0000      1.8861      1.0729      0.0000      1.8714      0.9737      0.0000     -1.2152    261.5667      0.0000    0.00000       0
  234 VV               1.8714      0.9737      0.0000      1.8714      0.9737      0.0000      1.8583      0.8744      0.0000     -1.2070    262.4927      0.0000    0.00000       0
  235 VV               1.8583      0.8744      0.0000      1.8583      0.8744      0.0000      1.8452      0.7750      0.0000     -1.2070    262.4922      0.0000    0.00000       0
  236 VV               1.8452      0.7750      0.0000      1.8452      0.7750      0.0000      1.8321      0.6756      0.0000     -1.2070    262.4892      0.0000    0.00000       0
  237 VV               1.8321      0.6756      0.0000      1.8321      0.6756      0.0000      1.8201      0.5759      0.0000     -1.2043    263.1708      0.0000    0.00000       0
  238 VV               1.8201      0.5759      0.0000      1.8201      0.5759      0.0000      1.8120      0.4764      0.0000     -1.1985    265.3040      0.0000    0.00000       0
  239 VV               1.8120      0.4764      0.0000      1.8120      0.4764      0.0000      1.8071      0.3766      0.0000     -1.1952    267.2063      0.0000    0.00000       0
  240 VV               1.8071      0.3766      0.0000      1.8071      0.3766      0.0000      1.8055      0.2767      0.0000     -1.1940    269.0996      0.0000    0.00000       0
  241 VV               1.8055      0.2767      0.0000      1.8055      0.2767      0.0000      1.8073      0.1768      0.0000     -1.1947    271.0036      0.0000    0.00000       0
  242 VV               1.8073      0.1768      0.0000      1.8073      0.1768      0.0000      1.8123      0.0770      0.0000     -1.1975    272.9088      0.0000    0.00000       0
  243 VV               1.8123      0.0770      0.0000      1.8123      0.0770      0.0000      1.8207     -0.0226      0.0000     -1.2022    274.7994      0.0000    0.00000       0
  244 VV               1.8207     -0.0226      0.0000      1.8207     -0.0226      0.0000      1.8324     -0.1218      0.0000     -1.2089    276.7075      0.0000    0.00000       0
  245 VV               1.8324     -0.1218      0.0000      1.8324     -0.1218      0.0000      1.8473     -0.2206      0.0000     -1.2176    278.5997      0.0000    0.00000       0
  246 VV               1.8473     -0.2206      0.0000      1.8473     -0.2206      0.0000      1.8655     -0.3189      0.0000     -1.2283    280.5069      0.0000    0.00000       0
  247 VV               1.8655     -0.3189      0.0000      1.8655     -0.3189      0.0000      1.8870     -0.4164      0.0000     -1.2409    282.4032      0.0000    0.00000       0
  248 VV               1.8870     -0.4164      0.0000      1.8870     -0.4164      0.0000      1.9117     -0.5133      0.0000     -1.2555    284.3005      0.0000    0.00000       0
  249 VV               1.9117     -0.5133      0.0000      1.9117     -0.5133      0.0000      1.9540     -0.6559      0.0000     -1.2747    286.5189      0.0000    0.00000       0
  250 VV               1.9540     -0.6559      0.0000      1.9540     -0.6559      0.0000      2.0100     -0.7869      0.0000     -1.3378    293.1690      0.0000    0.00000       0
