149.4934	-145	268.7881	195
158.9455	-145	269.6228	195
168.4426	-145	270.4532	195
177.9846	-145	271.2794	195
187.572	-145	272.1014	195
197.2051	-145	272.9192	195
206.8843	-145	273.7329	195
216.6096	-145	274.5425	195
226.3818	-145	275.3481	195
236.2009	-145	276.1496	195
246.0675	-145	276.9472	195
255.9817	-145	277.7407	195
265.9439	-145	278.5303	195
275.9547	-145	279.316	195
286.014	-145	280.0979	195
296.1226	-145	280.8758	195
306.2805	-145	281.65	195
316.4884	-145	282.4203	195
326.7464	-145	283.1869	195
337.055	-145	283.9497	195
347.4146	-145	284.7088	195
357.8254	-145	285.4643	195
368.288	-145	286.216	195
378.8028	-145	286.9642	195
389.3699	-145	287.7087	195
399.99	-145	288.4496	195
410.6633	-145	289.187	195
421.3903	-145	289.9209	195
432.1714	-145	290.6512	195
443.007	-145	291.3781	195
453.8974	-145	292.1015	195
464.8433	-145	292.8215	195
475.8449	-145	293.538	195
486.9026	-145	294.2512	195
498.017	-145	294.9611	195
