0.40000	0.10600
0.41841	0.10439
0.43625	0.09961
0.45300	0.09180
0.46814	0.08120
0.48120	0.06814
0.49180	0.05300
0.49961	0.03625
0.50439	0.01841
0.50600	0.00000
0.50439	-0.01841
0.49961	-0.03625
0.49180	-0.05300
0.48120	-0.06814
0.46814	-0.08120
0.45300	-0.09180
0.43625	-0.09961
0.41841	-0.10439
0.40000	-0.10600
0.38159	-0.10439
0.36375	-0.09961
0.34700	-0.09180
0.33186	-0.08120
0.31880	-0.06814
0.30820	-0.05300
0.30039	-0.03625
0.29561	-0.01841
0.29400	0.00000
0.29561	0.01841
0.30039	0.03625
0.30820	0.05300
0.31880	0.06814
0.33186	0.08120
0.34700	0.09180
0.36375	0.09961
0.38159	0.10439
0.40000	0.10600
