       1000.0000   8.3512888e-07
       1034.5970   3.2225854e-06
       1070.3909   1.0897572e-05
       1107.4233   3.2745485e-05
       1145.7368   8.8461736e-05
       1185.3758   0.00021621524
       1226.3863   0.00048767956
       1268.8155    0.0010166840
       1312.7127    0.0019744574
       1358.1287    0.0035966863
       1405.1158    0.0061833074
       1453.7286     0.010089622
       1504.0233     0.015722512
       1556.0579     0.023640139
       1609.8929     0.034163630
       1665.5903     0.047617865
       1723.2147     0.064233560
       1782.8328     0.084136835
       1844.5134      0.10739653
       1908.3281      0.13365840
       1974.3505      0.16290369
       2042.6571      0.19516004
       2113.3269      0.22990449
       2186.4416      0.26642626
       2262.0859      0.30421399
       2340.3473      0.34276912
       2421.3163      0.38162488
       2505.0866      0.42032388
       2591.7550      0.45849697
       2681.4220      0.49579089
       2774.1911      0.53192973
       2870.1698      0.56668094
       2969.4690      0.59989266
       3072.2037      0.63183497
       3178.4928      0.66212923
       3288.4591      0.69058030
       3402.2299      0.71715881
       3519.9368      0.74191138
       3641.7160      0.76484994
       3767.7085      0.78605959
       3898.0598      0.80560941
       4032.9210      0.82361329
       4172.4479      0.84024992
       4316.8021      0.85545740
       4466.1505      0.86934678
       4620.6659      0.88198440
       4780.5270      0.89346117
       4945.9189      0.90389239
       5117.0328      0.91340776
       5294.0668      0.92203897
       5477.2256      0.92985568
       5666.7211      0.93689335
       5862.7726      0.94325254
       6065.6070      0.94897828
       6275.4587      0.95412930
       6492.5707      0.95865151
       6717.1942      0.96257780
       6949.5889      0.96578407
       7190.0238      0.96815994
       7438.7770      0.96951502
       7696.1363      0.96958161
       7962.3995      0.96808013
       8237.8746      0.96463028
       8522.8803      0.95887990
       8817.7464      0.95049005
       9122.8139      0.93917806
       9438.4358      0.92474651
       9764.9774      0.90704476
       10102.816      0.88611414
       10452.343      0.86202323
       10813.963      0.83500423
       11188.094      0.80532585
       11575.168      0.77337318
       11975.634      0.73955258
       12389.955      0.70430157
       12818.610      0.66804376
       13262.096      0.63124500
       13720.924      0.59427816
       14195.627      0.55755248
       14686.753      0.52136639
       15194.871      0.48602663
       15720.567      0.45176833
       16264.452      0.41878356
       16827.153      0.38721373
       17409.322      0.35717804
       18011.632      0.32873911
       18634.780      0.30194149
       19279.488      0.27677979
       19946.500      0.25326365
       20636.589      0.23136009
       21350.553      0.21105170
       22089.218      0.19227245
       22853.439      0.17494864
       23644.099      0.15900673
       24462.114      0.14437053
       25308.429      0.13095685
       26184.025      0.11868561
       27089.913      0.10747414
       28027.143     0.097250382
       28996.798     0.087937000
